epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8497375249862671,0.3550279438495636,0.001,0.8537881970405579,0.3557682931423187
1,0.8696855902671814,0.3108401596546173,0.001,0.8765318393707275,0.293311208486557
2,0.8770317435264587,0.2949330806732178,0.001,0.880748987197876,0.2874544560909271
3,0.8818550705909729,0.2836693227291107,0.001,0.8759371638298035,0.30544206500053406
4,0.8858495354652405,0.27424874901771545,0.001,0.8804786801338196,0.28069838881492615
5,0.888966977596283,0.2682143747806549,0.001,0.8897779583930969,0.2714075446128845
6,0.8919222354888916,0.2632232904434204,0.001,0.8795415163040161,0.2887727916240692
7,0.8934599757194519,0.2590988576412201,0.001,0.8850021362304688,0.27148088812828064
8,0.8947874307632446,0.25650569796562195,0.001,0.897599458694458,0.2504873275756836
9,0.89510577917099,0.25448811054229736,0.001,0.8946258425712585,0.26725998520851135
10,0.897280216217041,0.251722127199173,0.001,0.8883001804351807,0.28488263487815857
11,0.8971360325813293,0.24924972653388977,0.001,0.8993296027183533,0.2557058334350586
12,0.9056534767150879,0.22868995368480682,0.00020000001,0.904591977596283,0.2326378971338272
13,0.9073894023895264,0.22479148209095,0.00020000001,0.9048442840576172,0.23198848962783813
14,0.9072452187538147,0.2248324155807495,0.00020000001,0.9070429801940918,0.22411681711673737
15,0.9084225296974182,0.22250230610370636,0.00020000001,0.9061418771743774,0.2252623587846756
16,0.9090051651000977,0.22031527757644653,0.00020000001,0.9088451266288757,0.22569245100021362
17,0.9094796776771545,0.21943159401416779,0.00020000001,0.9077458381652832,0.222939133644104
18,0.9096478819847107,0.21816149353981018,0.00020000001,0.9094038605690002,0.22016742825508118
19,0.9101043939590454,0.21729464828968048,0.00020000001,0.9081603288650513,0.2589453458786011
20,0.9102485775947571,0.21774043142795563,0.00020000001,0.9095119833946228,0.22165599465370178
21,0.9108191728591919,0.2158660590648651,0.00020000001,0.9096741676330566,0.22133824229240417
22,0.9124830365180969,0.21075467765331268,4.0000003e-05,0.9116746187210083,0.21684478223323822
23,0.9133119583129883,0.20977570116519928,4.0000003e-05,0.9119809865951538,0.21561306715011597
24,0.9131978154182434,0.20979957282543182,4.0000003e-05,0.9109176993370056,0.21528925001621246
25,0.9134981632232666,0.20920740067958832,4.0000003e-05,0.9131343960762024,0.21480108797550201
26,0.9135221838951111,0.20883558690547943,4.0000003e-05,0.9128640294075012,0.21585644781589508
27,0.9143331050872803,0.20814816653728485,4.0000003e-05,0.9121071100234985,0.214793860912323
28,0.913618266582489,0.20839841663837433,4.0000003e-05,0.9128820896148682,0.21470148861408234
29,0.9141108393669128,0.20786315202713013,8.000001e-06,0.912413477897644,0.21485058963298798
30,0.9145973920822144,0.20718908309936523,8.000001e-06,0.9117827415466309,0.2148410975933075
31,0.914819598197937,0.2062447965145111,8.000001e-06,0.9133326411247253,0.2141292244195938
32,0.9146514534950256,0.20718295872211456,8.000001e-06,0.9127739071846008,0.21364329755306244
33,0.9144412279129028,0.20719683170318604,8.000001e-06,0.9135668873786926,0.21198120713233948
34,0.9144832491874695,0.2064724862575531,8.000001e-06,0.9130622744560242,0.21312980353832245
35,0.9143450856208801,0.2065322995185852,8.000001e-06,0.9119088649749756,0.21357382833957672
36,0.9152340888977051,0.20584192872047424,8.000001e-06,0.9126297831535339,0.2141081839799881
37,0.9151379466056824,0.20603501796722412,1.6000001e-06,0.9129721522331238,0.21215511858463287
38,0.9144652485847473,0.20649674534797668,1.6000001e-06,0.9120710492134094,0.21327844262123108
39,0.9144772291183472,0.20686942338943481,1.6000001e-06,0.9134047031402588,0.2120104730129242
40,0.915198028087616,0.2062043994665146,3.2000003e-07,0.9125396609306335,0.21269924938678741
41,0.9144712090492249,0.20623630285263062,3.2000003e-07,0.9121071100234985,0.21340663731098175
42,0.9143210649490356,0.2067822366952896,3.2000003e-07,0.9124855995178223,0.2142401784658432
43,0.9149277210235596,0.2057817280292511,6.4000005e-08,0.9121972322463989,0.21381425857543945
